iter	Passed	Remaining
726	108656	40802
727	108778	40642
728	108884	40477
729	109002	40316
730	109272	40211
731	109367	40041
732	109458	39870
733	109561	39704
734	109668	39540
735	109778	39377
736	109869	39207
737	109970	39041
738	110075	38876
739	110334	38766
740	110620	38664
741	110778	38518
742	110885	38354
743	110986	38188
744	111101	38027
745	111210	37865
746	111319	37702
747	111426	37539
748	111686	37427
749	111874	37291
750	111964	37122
751	112073	36960
752	112178	36796
753	112285	36634
754	112378	36467
755	112471	36300
756	112574	36136
757	112719	35986
758	112976	35872
759	113090	35712
760	113193	35549
761	113294	35385
762	113399	35223
763	113505	35061
764	113604	34898
765	113711	34736
766	113833	34580
767	114117	34473
768	114220	34310
769	114323	34148
770	114412	33982
771	114518	33821
772	114606	33655
773	114695	33489
774	114793	33327
775	114919	33172
776	115213	33066
777	115459	32946
778	115588	32792
779	115686	32629
780	115783	32466
781	115886	32305
782	115988	32144
783	116086	31983
784	116178	31819
785	116287	31661
786	116410	31506
787	116657	31384
788	116761	31225
789	116863	31064
790	116986	30910
791	117086	30749
792	117191	30590
793	117281	30428
794	117380	30267
795	117489	30110
796	117700	29978
797	117863	29835
798	117985	29680
799	118092	29523
800	118200	29365
801	118344	29217
802	118537	29080
803	118789	28958
804	119113	28853
805	119323	28720
806	119556	28592
807	119771	28460
808	119974	28325
809	120200	28195
810	120530	28089
811	120841	27978
812	121036	27839
813	121228	27700
814	121426	27562
815	121630	27426
816	122122	27354
817	122408	27235
818	122577	27089
819	122676	26928
820	122781	26769
821	122866	26606
822	122973	26447
823	123080	26288
824	123201	26133
825	123299	25973
826	123490	25832
827	123701	25696
828	123809	25538
829	123918	25380
830	124035	25225
831	124136	25066
832	124269	24913
833	124366	24754
834	124483	24598
835	124653	24453
836	124872	24318
837	124988	24162
838	125079	24002
839	125173	23842
840	125282	23685
841	125384	23528
842	125477	23368
843	125561	23208
844	125671	23052
845	125801	22900
846	126086	22775
847	126185	22618
848	126299	22463
849	126411	22307
850	126507	22149
851	126612	21993
852	126722	21838
853	126801	21677
854	126899	21520
855	127123	21385
856	127349	21249
857	127469	21096
858	127559	20938
859	127653	20780
860	127755	20624
861	127874	20471
862	127981	20316
863	128086	20161
864	128361	20033
865	128507	19884
866	128619	19730
867	128717	19574
868	128824	19419
869	128926	19264
870	129008	19106
871	129125	18954
872	129220	18798
873	129562	18678
874	129785	18540
875	129896	18387
876	129989	18231
877	130102	18078
878	130195	17922
879	130309	17769
880	130423	17616
